--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  seo_4_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
22.01 22.545 -0.1

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e    socc     lk  s2
   76      1 19B2  0.26 99.73       22,32      0.85 20.273 479.461  0.324 2.0
   79      1 19B1   0.1  99.9       21,30      0.71 20.416 258.971  0.191 2.0
   79      2 19B1   0.1  99.9       20,32      0.48 20.416 258.971  0.191 2.0
   81      1 18A1   0.0 100.0       21,32      0.71 20.481   1.232 -0.001 2.0
   81      2 18A1   0.0 100.0       21,32       0.6 20.481   1.232 -0.001 2.0
   82      1 20B2  0.02 99.98       21,29      0.81 20.664 218.101  0.092 2.0
   83      1 20B1  0.14 99.85       20,32      0.78  20.72 480.595 -0.259 2.0
   83      2 20B1  0.14 99.85       21,30      0.43  20.72 480.595 -0.259 2.0
   87      1 21B2 10.63 89.37       21,29      0.48 22.048  60.472  0.141 2.0
   87      2 21B2 10.63 89.37 20,21,22,30      0.46 22.048  60.472  0.141 2.0
   87      3 21B2 10.63 89.37 20,21,22,30      0.43 22.048  60.472  0.141 2.0
   87      4 21B2 10.63 89.37       22,23       0.4 22.048  60.472  0.141 2.0
   87      5 21B2 10.63 89.37       16,22      0.24 22.048  60.472  0.141 2.0
   90      1 21B1 10.68  89.3       21,30      0.48 22.269   79.06 -0.143 2.0
   90      2 21B1 10.68  89.3 20,21,22,29      0.45 22.269   79.06 -0.143 2.0
   90      3 21B1 10.68  89.3 20,21,22,29      0.43 22.269   79.06 -0.143 2.0
   90      4 21B1 10.68  89.3       20,23      0.42 22.269   79.06 -0.143 2.0
   93      1 22B2 25.84 74.16       22,31      0.64 23.773 448.246 -0.369 2.0
   93      2 22B2 25.84 74.16       16,22       0.5 23.773 448.246 -0.369 2.0
   93      3 22B2 25.84 74.16       22,35      0.42 23.773 448.246 -0.369 2.0
   94      1 22B1 42.47 57.53       16,20      0.64  24.08 452.455  0.386 2.0
   94      2 22B1 42.47 57.53       20,31      0.55  24.08 452.455  0.386 2.0
   94      3 22B1 42.47 57.53       20,35      0.37  24.08 452.455  0.386 2.0
   95      1 23B2 61.11 38.89       16,22      0.74 24.395  69.057  0.221 2.0
   95      2 23B2 61.11 38.89       22,31      0.41 24.395  69.057  0.221 2.0
   96      1 23B1 45.02 54.98       16,20      0.63 24.607 151.662  0.148 2.0
   96      2 23B1 45.02 54.98       20,31      0.51 24.607 151.662  0.148 2.0
   96      3 23B1 45.02 54.98       20,35      0.33 24.607 151.662  0.148 2.0
  101      1 25B2  1.95 98.05 20,21,22,34      0.79 25.457  67.359  0.399 2.0
  101      2 25B2  1.95 98.05 20,21,22,34      0.41 25.457  67.359  0.399 2.0
  102      1 25B1  1.71 98.28 20,21,22,33       0.8 25.509  75.831 -0.399 2.0
  102      2 25B1  1.71 98.28 20,21,22,33      0.42 25.509  75.831 -0.399 2.0
  104      1 26B2  0.49 99.51       22,27      0.77 25.955   8.696  0.019 2.0
  104      2 26B2  0.49 99.51       22,26      0.51 25.955   8.696  0.019 2.0
  107      1 26B1  0.25 99.74       22,28      0.92 26.043   2.089  0.037 2.0
  108      1 27B2  0.37 99.63 20,21,22,34      0.72 26.184  60.547 -0.292 2.0
  108      2 27B2  0.37 99.63 20,21,22,34      0.53 26.184  60.547 -0.292 2.0
  109      1 27B1   0.4  99.6 20,21,22,33      0.76 26.242  62.758  0.334 2.0
  109      2 27B1   0.4  99.6 20,21,22,33      0.44 26.242  62.758  0.334 2.0
  110      1 28B2  1.28 98.72       22,26      0.48  26.33  49.892 -0.252 2.0
  110      2 28B2  1.28 98.72       22,27      0.47  26.33  49.892 -0.252 2.0
  110      3 28B2  1.28 98.72 20,21,22,34      0.43  26.33  49.892 -0.252 2.0
  110      4 28B2  1.28 98.72 20,21,22,34       0.4  26.33  49.892 -0.252 2.0
  110      5 28B2  1.28 98.72       20,28       0.3  26.33  49.892 -0.252 2.0
  111      1 28B1  0.61 99.39       21,34      0.57  26.45  48.495  0.141 2.0
  111      2 28B1  0.61 99.39       20,27      0.47  26.45  48.495  0.141 2.0
  111      3 28B1  0.61 99.39       21,34      0.35  26.45  48.495  0.141 2.0
  111      4 28B1  0.61 99.39       20,26      0.32  26.45  48.495  0.141 2.0
  112      1 29B2  0.09 99.91       21,33      0.54 26.489   0.544 -0.035 2.0
  112      2 29B2  0.09 99.91       21,33       0.5 26.489   0.544 -0.035 2.0
  112      3 29B2  0.09 99.91 20,21,22,34      0.47 26.489   0.544 -0.035 2.0
  112      4 29B2  0.09 99.91 20,21,22,34      0.42 26.489   0.544 -0.035 2.0
  113      1 29B1  0.28 99.71 20,21,22,33      0.65  26.49  32.309  0.074 2.0
  113      2 29B1  0.28 99.71 20,21,22,33      0.52  26.49  32.309  0.074 2.0
  117      1 30B1  0.76 99.23       20,27      0.78 26.628   34.16 -0.037 2.0
  118      1 30B2  0.69 99.31       20,28      0.86 26.636  28.076 -0.047 2.0
  120      1 31B2  1.14 98.86       22,26      0.51 27.001  53.418 -0.145 2.0
  120      2 31B2  1.14 98.86 20,21,22,34      0.46 27.001  53.418 -0.145 2.0
  120      3 31B2  1.14 98.86       21,33      0.43 27.001  53.418 -0.145 2.0
  120      4 31B2  1.14 98.86       20,28      0.31 27.001  53.418 -0.145 2.0
  120      5 31B2  1.14 98.86       21,33      0.28 27.001  53.418 -0.145 2.0
  121      1 31B1  2.27 97.73       20,26      0.71 27.204  25.638  0.178 2.0
  121      2 31B1  2.27 97.73 20,21,22,33      0.36 27.204  25.638  0.178 2.0
  121      3 31B1  2.27 97.73       21,34      0.36 27.204  25.638  0.178 2.0
  125      1 32B2  0.06 99.94       21,33      0.64 27.717   8.938  0.014 2.0
  125      2 32B2  0.06 99.94       21,33       0.6 27.717   8.938  0.014 2.0
  125      3 32B2  0.06 99.94       22,31      0.39 27.717   8.938  0.014 2.0
  126      1 32B1  0.14 99.86       21,34      0.78  27.78   20.61  0.021 2.0
  126      2 32B1  0.14 99.86       21,34      0.55  27.78   20.61  0.021 2.0
  129      1 33B2  0.93 99.07       22,31      0.81 28.013  71.573  0.065 2.0
  130      1 33B1  0.75 99.25       20,31      0.89 28.287  82.202 -0.046 2.0
  131      1 34B2   4.4  95.6       22,32      0.92 28.922  26.526  -0.16 2.0
  132      1 35B2  0.06 99.93       22,35      0.82 29.306   1.307 -0.195 2.0
  132      2 35B2  0.06 99.93       22,31      0.52 29.306   1.307 -0.195 2.0
  133      1 34B1  4.19  95.8       20,32      0.91 29.379  24.662  0.149 2.0
  134      1 35B1  0.05 99.94       20,35      0.82  29.79   1.408  0.181 2.0
  134      2 35B1  0.05 99.94       20,31      0.53  29.79   1.408  0.181 2.0
  135      1 28A1  0.02 99.98       22,33      0.95 29.883  49.666  0.002 2.0
  137      1 29A1  0.92 99.08       20,34      0.93 30.335  66.832  0.001 2.0
