--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  ni_4_12.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
1.861 1.861 -0.001

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e   socc     lk  s2
  102      2 22B1  0.86 98.92 13,16,17,20      0.39 17.332  5.219 -0.079 2.0
  104      1 29B2  5.29 94.14       13,20      0.51 17.545  0.674 -0.065 2.0
  104      2 29B2  5.29 94.14 13,16,17,19      0.46 17.545  0.674 -0.065 2.0
  104      3 29B2  5.29 94.14 13,16,17,19      0.46 17.545  0.674 -0.065 2.0
  104      4 29B2  5.29 94.14       13,20      0.41 17.545  0.674 -0.065 2.0
  105      1 23B1  5.29 94.14       13,19      0.51 17.545  0.674 -0.065 2.0
  105      2 23B1  5.29 94.14 13,16,17,20      0.46 17.545  0.674 -0.065 2.0
  105      3 23B1  5.29 94.14 13,16,17,20      0.46 17.545  0.674 -0.065 2.0
  105      4 23B1  5.29 94.14       13,19      0.41 17.545  0.674 -0.065 2.0
  110      1 26B1 44.85 52.74       14,13      0.51 17.826  3.788 -0.255 2.0
  110      2 26B1 44.85 52.74       16,26      0.41 17.826  3.788 -0.255 2.0
  110      3 26B1 44.85 52.74       16,27      0.38 17.826  3.788 -0.255 2.0
  110      4 26B1 44.85 52.74 15,13,16,17      0.28 17.826  3.788 -0.255 2.0
  111      1 32B2 44.85 52.74       15,13      0.51 17.826  3.788  0.255 2.0
  111      2 32B2 44.85 52.74       17,26      0.41 17.826  3.788  0.255 2.0
  111      3 32B2 44.85 52.74       17,27      0.38 17.826  3.788  0.255 2.0
  111      4 32B2 44.85 52.74 14,13,16,17      0.28 17.826  3.788  0.255 2.0
  113      1 27B1 44.57 52.88       14,13      0.52 17.999  9.806  0.192 2.0
  113      2 27B1 44.57 52.88       16,27      0.52 17.999  9.806  0.192 2.0
  113      3 27B1 44.57 52.88       16,26      0.39 17.999  9.806  0.192 2.0
  114      1 33B2 44.57 52.88       15,13      0.52 17.999  9.806 -0.192 2.0
  114      2 33B2 44.57 52.88       17,27      0.52 17.999  9.806 -0.192 2.0
  114      3 33B2 44.57 52.88       17,26      0.39 17.999  9.806 -0.192 2.0
  119      1 28B1  4.59 95.14 13,16,17,25      0.75 18.245 15.325  0.078 2.0
  119      2 28B1  4.59 95.14 13,16,17,25      0.43 18.245 15.325  0.078 2.0
  120      1 34B2  4.59 95.14 13,16,17,24      0.75 18.245 15.325  0.078 2.0
  120      2 34B2  4.59 95.14 13,16,17,24      0.43 18.245 15.325  0.078 2.0
  132      1 30B1 45.32 46.41       14,13      0.43 19.118  4.524 -0.045 2.0
  132      2 30B1 45.32 46.41       11,16      0.28 19.118  4.524 -0.045 2.0
  132      3 30B1 45.32 46.41       13,16      0.27 19.118  4.524 -0.045 2.0
  132      4 30B1 45.32 46.41       13,19      0.25 19.118  4.524 -0.045 2.0
  132      5 30B1 45.32 46.41       13,19      0.25 19.118  4.524 -0.045 2.0
  132      6 30B1 45.32 46.41       13,24      0.25 19.118  4.524 -0.045 2.0
  132      7 30B1 45.32 46.41       16,30      0.24 19.118  4.524 -0.045 2.0
  132      8 30B1 45.32 46.41 13,16,17,25      0.23 19.118  4.524 -0.045 2.0
  132      9 30B1 45.32 46.41 15,13,16,17      0.23 19.118  4.524 -0.045 2.0
  133      1 36B2 45.32 46.41       15,13      0.43 19.118  4.524  0.045 2.0
  133      2 36B2 45.32 46.41       11,17      0.28 19.118  4.524  0.045 2.0
  133      3 36B2 45.32 46.41       13,17      0.27 19.118  4.524  0.045 2.0
  133      4 36B2 45.32 46.41       13,20      0.25 19.118  4.524  0.045 2.0
  133      5 36B2 45.32 46.41       13,20      0.25 19.118  4.524  0.045 2.0
  133      6 36B2 45.32 46.41       13,25      0.25 19.118  4.524  0.045 2.0
  133      7 36B2 45.32 46.41       17,30      0.24 19.118  4.524  0.045 2.0
  133      8 36B2 45.32 46.41 13,16,17,24      0.23 19.118  4.524  0.045 2.0
  133      9 36B2 45.32 46.41 14,13,16,17      0.23 19.118  4.524  0.045 2.0
  135      1 31B1  9.18 89.72       13,19      0.68 19.339  0.955  0.004 2.0
  135      2 31B1  9.18 89.72       13,19      0.59 19.339  0.955  0.004 2.0
  136      1 37B2  9.18 89.72       13,20      0.68 19.339  0.955  0.004 2.0
  136      2 37B2  9.18 89.72       13,20      0.59 19.339  0.955  0.004 2.0
  138      1 32B1 38.89 54.47 13,16,17,25      0.41 19.414 13.693  0.088 2.0
  138      2 32B1 38.89 54.47       14,13      0.33 19.414 13.693  0.088 2.0
  138      3 32B1 38.89 54.47       11,16      0.31 19.414 13.693  0.088 2.0
  138      4 32B1 38.89 54.47       13,24      0.25 19.414 13.693  0.088 2.0
  138      5 32B1 38.89 54.47       16,21      0.24 19.414 13.693  0.088 2.0
  138      6 32B1 38.89 54.47       13,24      0.21 19.414 13.693  0.088 2.0
  139      1 38B2 38.89 54.47 13,16,17,24      0.41 19.414 13.693 -0.088 2.0
  139      2 38B2 38.89 54.47       15,13      0.33 19.414 13.693 -0.088 2.0
  139      3 38B2 38.89 54.47       11,17      0.31 19.414 13.693 -0.088 2.0
  139      4 38B2 38.89 54.47       13,25      0.25 19.414 13.693 -0.088 2.0
  139      5 38B2 38.89 54.47       17,21      0.24 19.414 13.693 -0.088 2.0
  139      6 38B2 38.89 54.47       13,25      0.21 19.414 13.693 -0.088 2.0
  143      1 39B2 62.96 34.71       11,17      0.54 19.731  6.462  0.066 2.0
  143      2 39B2 62.96 34.71 12,13,17,18      0.35 19.731  6.462  0.066 2.0
  143      3 39B2 62.96 34.71       12,17      0.31 19.731  6.462  0.066 2.0
  143      4 39B2 62.96 34.71 12,13,17,18      0.29 19.731  6.462  0.066 2.0
  143      5 39B2 62.96 34.71       13,25      0.28 19.731  6.462  0.066 2.0
  144      1 33B1 62.96 34.71       11,16      0.54 19.731  6.462  0.066 2.0
  144      2 33B1 62.96 34.71 12,13,16,18      0.35 19.731  6.462  0.066 2.0
  144      3 33B1 62.96 34.71       12,16      0.31 19.731  6.462  0.066 2.0
  144      4 33B1 62.96 34.71 12,13,16,18      0.29 19.731  6.462  0.066 2.0
  144      5 33B1 62.96 34.71       13,24      0.28 19.731  6.462  0.066 2.0
  151      1 35B1 11.75 86.86       13,24      0.65 20.244   3.76 -0.021 2.0
  151      2 35B1 11.75 86.86       13,24      0.41 20.244   3.76 -0.021 2.0
  151      3 35B1 11.75 86.86       16,21      0.41 20.244   3.76 -0.021 2.0
  152      1 41B2 11.75 86.86       13,25      0.65 20.244   3.76  0.021 2.0
  152      2 41B2 11.75 86.86       13,25      0.41 20.244   3.76  0.021 2.0
  152      3 41B2 11.75 86.86       17,21      0.41 20.244   3.76  0.021 2.0
  156      1 42B2 38.07  59.4       17,21      0.59 20.694    8.0 -0.018 2.0
  156      2 42B2 38.07  59.4 12,13,17,18      0.37 20.694    8.0 -0.018 2.0
  157      1 36B1 38.07  59.4       16,21      0.59 20.694    8.0 -0.018 2.0
  157      2 36B1 38.07  59.4 12,13,16,18      0.37 20.694    8.0 -0.018 2.0
  163      1 43B2 31.15  68.4 13,16,17,28      0.49 20.901   1.94 -0.518 2.0
  163      2 43B2 31.15  68.4 12,13,17,18      0.34 20.901   1.94 -0.518 2.0
  163      3 43B2 31.15  68.4       17,21      0.33 20.901   1.94 -0.518 2.0
  163      4 43B2 31.15  68.4 12,13,17,18      0.33 20.901   1.94 -0.518 2.0
  163      5 43B2 31.15  68.4       13,25      0.29 20.901   1.94 -0.518 2.0
  164      1 37B1 31.15  68.4 13,16,17,29      0.49 20.901   1.94 -0.518 2.0
  164      2 37B1 31.15  68.4 12,13,16,18      0.34 20.901   1.94 -0.518 2.0
  164      3 37B1 31.15  68.4       16,21      0.33 20.901   1.94 -0.518 2.0
  164      4 37B1 31.15  68.4 12,13,16,18      0.33 20.901   1.94 -0.518 2.0
  164      5 37B1 31.15  68.4       13,24      0.29 20.901   1.94 -0.518 2.0
  166      1 38B1  1.74 98.08       16,23      0.58 21.353  2.192  0.166 2.0
  166      2 38B1  1.74 98.08       17,22      0.58 21.353  2.192  0.166 2.0
  167      1 44B2  1.74 98.08       16,22      0.58 21.353  2.192  0.166 2.0
  167      2 44B2  1.74 98.08       17,23      0.58 21.353  2.192  0.166 2.0
  170      1 40B1  5.44 93.02       17,22      0.35 21.416  2.813 -0.567 2.0
  170      2 40B1  5.44 93.02       16,23      0.35 21.416  2.813 -0.567 2.0
  170      3 40B1  5.44 93.02       13,24      0.32 21.416  2.813 -0.567 2.0
  170      4 40B1  5.44 93.02       16,30      0.32 21.416  2.813 -0.567 2.0
  170      5 40B1  5.44 93.02 13,16,17,29      0.29 21.416  2.813 -0.567 2.0
  170      6 40B1  5.44 93.02       16,21      0.26 21.416  2.813 -0.567 2.0
  170      7 40B1  5.44 93.02 13,16,17,29      0.24 21.416  2.813 -0.567 2.0
  170      8 40B1  5.44 93.02       13,28      0.21 21.416  2.813 -0.567 2.0
  170      9 40B1  5.44 93.02 13,16,17,29      0.18 21.416  2.813 -0.567 2.0
  171      1 46B2  5.44 93.02       17,23      0.35 21.416  2.813  0.567 2.0
  171      2 46B2  5.44 93.02       16,22      0.35 21.416  2.813  0.567 2.0
  171      3 46B2  5.44 93.02       13,25      0.32 21.416  2.813  0.567 2.0
  171      4 46B2  5.44 93.02       17,30      0.32 21.416  2.813  0.567 2.0
  171      5 46B2  5.44 93.02 13,16,17,28      0.29 21.416  2.813  0.567 2.0
  171      6 46B2  5.44 93.02       17,21      0.26 21.416  2.813  0.567 2.0
  171      7 46B2  5.44 93.02 13,16,17,28      0.24 21.416  2.813  0.567 2.0
  171      8 46B2  5.44 93.02       13,29      0.21 21.416  2.813  0.567 2.0
  171      9 46B2  5.44 93.02 13,16,17,28      0.18 21.416  2.813  0.567 2.0
  172      1 41B1 11.85  83.2       16,30      0.68 21.444 17.291  0.095 2.0
  173      1 47B2 11.85  83.2       17,30      0.68 21.444 17.291  0.095 2.0
  179      1 42B1  4.43 94.93 13,16,17,29      0.64 22.184 15.468 -0.395 2.0
  179      2 42B1  4.43 94.93 13,16,17,29      0.55 22.184 15.468 -0.395 2.0
  180      1 48B2  4.43 94.93 13,16,17,28      0.64 22.184 15.468 -0.395 2.0
  180      2 48B2  4.43 94.93 13,16,17,28      0.55 22.184 15.468 -0.395 2.0
  190      1 52B2 29.95 69.24       17,26      0.79 22.733  0.411 -0.081 2.0
  191      1 44B1 29.95 69.24       16,26      0.79 22.733  0.412 -0.081 2.0
  192      1 53B2 59.18 40.14       17,26      0.42 23.254  0.201  0.072 2.0
  192      2 53B2 59.18 40.14 12,13,17,18      0.39 23.254  0.201  0.072 2.0
  192      3 53B2 59.18 40.14 12,13,17,18      0.39 23.254  0.201  0.072 2.0
  192      4 53B2 59.18 40.14       17,27      0.34 23.254  0.201  0.072 2.0
  192      5 53B2 59.18 40.14 11,13,17,18      0.27 23.254  0.201  0.072 2.0
  192      6 53B2 59.18 40.14 12,13,17,18      0.26 23.254  0.201  0.072 2.0
  192      7 53B2 59.18 40.14 12,13,17,18      0.25 23.254  0.201  0.072 2.0
  193      1 45B1 59.18 40.14       16,26      0.42 23.254  0.201  0.072 2.0
  193      2 45B1 59.18 40.14 12,13,16,18      0.39 23.254  0.201  0.072 2.0
  193      3 45B1 59.18 40.14 12,13,16,18      0.39 23.254  0.201  0.072 2.0
  193      4 45B1 59.18 40.14       16,27      0.34 23.254  0.201  0.072 2.0
  193      5 45B1 59.18 40.14 11,13,16,18      0.27 23.254  0.201  0.072 2.0
  193      6 45B1 59.18 40.14 12,13,16,18      0.26 23.254  0.201  0.072 2.0
  193      7 45B1 59.18 40.14 12,13,16,18      0.25 23.254  0.201  0.072 2.0
  195      1 46B1  7.61 92.02       16,27      0.69 23.815  9.528 -0.035 2.0
  195      2 46B1  7.61 92.02 13,16,17,29      0.41 23.815  9.528 -0.035 2.0
  196      1 54B2  7.61 92.02       17,27      0.69 23.815  9.528 -0.035 2.0
  196      2 54B2  7.61 92.02 13,16,17,28      0.41 23.815  9.528 -0.035 2.0
  199      1 47B1  0.41 98.88 13,16,18,27      0.43 24.135  0.293 -0.017 2.0
  199      2 47B1  0.41 98.88 13,16,18,26      0.43 24.135  0.293 -0.017 2.0
  199      3 47B1  0.41 98.88 13,16,18,21      0.43 24.135  0.293 -0.017 2.0
  199      4 47B1  0.41 98.88 13,16,18,30      0.26 24.135  0.293 -0.017 2.0
  200      1 55B2  0.41 98.88 13,17,18,27      0.43 24.135  0.293 -0.017 2.0
  200      2 55B2  0.41 98.88 13,17,18,26      0.43 24.135  0.293 -0.017 2.0
  200      3 55B2  0.41 98.88 13,17,18,21      0.43 24.135  0.293 -0.017 2.0
  200      4 55B2  0.41 98.88 13,17,18,30      0.26 24.135  0.293 -0.017 2.0

States multiplicity: 
- 0 Singlet states:  []
- 0 Doublet states:  []
- 172 Triplet states:  [1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 54, 57, 58, 59, 60, 61, 62, 63, 64, 65, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 138, 139, 140, 141, 142, 143, 144, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 175, 176, 177, 178, 179, 180, 181, 182, 183, 186, 187, 188, 189, 190, 191, 192, 193, 195, 196, 197, 198, 199, 200]
- 0 Quartet states:  []
- 28 Quintet states:  [6, 7, 8, 28, 29, 30, 33, 49, 50, 52, 53, 55, 56, 66, 67, 68, 69, 70, 89, 106, 107, 137, 145, 146, 174, 184, 185, 194]
 
------------------------
 IMPROVED ACTIVE SPACE 
------------------------
Initial active space (HOMO = 17 ): [ 4 , 12 ] ; [13, 16, 17, 18, 51, 52, 53, 54, 55, 77, 78, 79]
Final active space (HOMO = 17 ): [ 12 , 20 ] ; [11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]
 
--------------------------------
 SUM-OVER-STATE ANALYSIS
--------------------------------
 state    gxx    gyy  gzz
     1  0.000  0.000  0.0
     2  3.218 -1.074 -0.0
     3  1.074  3.218 -0.0
     4 -0.028 -2.223  0.0
     5  2.223 -0.028  0.0
     6  0.000 -0.000  0.0
     7  0.000 -0.000  0.0
     8 -0.000  0.000 -0.0
     9  0.000  0.000 -0.0
